title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
Moominpappa At Sea,Tove Jansson,4.0,1.0,,,"Feeling His Family'S Life Is Too Safe And Fixed, Moominpappa Moves Them To A Lighthouse On An Island To Lead A Life Full Of Troubles.",Macmillan,242.0,English,2010-10-26,Fantasy,9780312608927
Bridge To Terabithia,Katherine Paterson,,,,,"One Of The Most Celebrated Newbery Medal Winners Of All Time Gets A Magical Makeover In This New Edition, Complete With A Reader'S Guide That'S Ideal For Teachers, Book Clubs, Or Anyone Looking For Insight Into This Favorite Book.","Manitoba Department Of Education, Special Materials Services], 1981. (Winnipeg : University Of Manitoba Computer Braille Services)",148.0,English,1979,Fantasy,9780380432813
Peter Pan,James Matthew Barrie,3.5,130.0,,,"The Adventures Of The Three Darling Children In Never-Never Land With Peter Pan, The Boy Who Would Not Grow Up.","Sterling Publishing Company, Inc.",164.0,English,2008,Fantasy,9781402754265
Gulliver'S Travels,Jonathan Swift,,,,,,,187.0,English,19??,Fantasy,9780709701248
Prince Caspian,Clive Staples Lewis,4.5,93.0,,,Four Children Help Prince Caspian And His Army Of Talking Beasts To Free Narnia From Evil.,Ingram,228.0,English,1987,Fantasy,9780590405966
Fablehaven,Brandon Mull,4.0,187.0,,,"When Kendra And Seth Go To Stay At Their Grandparents' Estate, They Discover That It Is A Sanctuary For Magical Creatures And That A Battle Between Good And Evil Is Looming.",Simon And Schuster,384.0,English,2007-04-24,Fantasy,9781416947202
Crime And Punishment,Fyodor Dostoyevsky,,,,,"Raskolnikov, An Impoverished And Destitute Young Man, Oscillating Between Clarity Of Thought And Abject Melancholy In The Aftermath Of Committing A Gruesome Murder, Is Plagued By Suspicions, Regrets, Fears And Hallucinations On His Path To Redemption In This Incisive, Emotional Tale.",,0.0,English,2022,Mystery,9789394018075
Tuesday,David Wiesner,4.0,116.0,,,"Frogs Rise On Their Lily Pads, Float Through The Air, And Explore The Nearby Houses While Their Inhabitants Sleep.",Houghton Mifflin Harcourt,36.0,English,1991,Mystery,9780395870822
4.50 From Paddington,Agatha Christie,4.0,47.0,,,"Elspeth Looked Out The Train Window Into The Train Drawing Alongside, And Was Horrified To See A Man Strangling A Woman. The Body Crumpled, And Then The Other Train Drew Away. But No One Believed Elspeth'S Story--Except Her Friend Miss Marple.",Harpercollins Publishers,228.0,English,1993,Mystery,9780006157625
The Redbreast,Jo Nesbo,3.5,77.0,,,"The Redbreast"" Is The Winner Of The Glass Key Prize For The Best Nordic Crimenovel, And Has Been Voted Norways Best Work Of Crime Fiction.",Harper Collins,532.0,English,2006,Mystery,9780061133992
