title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
The Case Of The General'S Thumb,Andrey Kurkov,4.0,4.0,,,"John Le Carré Meets Mikhail Bulgakov In This International Crime Thriller By The Author Of The Acclaimed Death And The Penguin The Corpse Of A Distinguished General Is Found Attached To An Advertising Balloon—And Minus His Thumb. Police Lieutenant Viktor Slutsky Is Sent In To Investigate. So, Too, Is Kgb Officer Nik Tsensky. They Begin Their Investigations Unbeknownst To Each Other, But Quickly Find Themselves Mystified About Developments Caused By The Other. Thus Begins A Comedy Of Very Dangerous Errors As The Two Crisscross Europe, Russia, And The Ukraine, Catalysts In A Bizarre Battle Between The Russian And Ukrainian Secret Services. What Ensues Is Simultaneously Hilarious, Tragic, And Suspenseful, With A Fascinating Cast Of Characters Who Would Seem Absurd If They Weren’T So Compelling: A Larger-Than-Life Hitman, A Deaf-And-Dumb Blonde, And A Turtle. Then There’S The Gun That Shoots Backwards... And As The Two Faithful Investigators Find Themselves To Be Pawns In A Story Of Post-Soviet Collapse, It Becomes—As Usual In The Work Of This Modern Russian Master—An Inspiring Tale Of Resilience Against The Dark Forces Of The Day.",Melville House,263.0,English,2012-02-21,"Fiction , Thrillers , General",9781612190617
Red Dawn,Ann Gimpel,,,,,"A Deliciously Different Dark Fantasy. Llyr Is A Whale Shifter With A Whale-Sized Problem. The Seas Are Dying, Poisoned By Heavy Metal Contamination And Barrels Of Trash. In A Bold And Desperate Move, He And His Mate Galatea, The Sea Witch, Hatch Up Magic To Allow Him To Spend As Long As He Needs To On Land. Llyr Masquerades As A Marine Biologist And Signs On With A Firm Whose Mission Is To Save The Oceans, But His Boss Has Been Possessed By Ancient Evil That Wants The Whales Dead. Desperate, Llyr Returns To The Sea For Answers, But Only Finds More Problems. Staring Into The Maw Of His Own Destruction Brands Him, Changes Him Irrevocably, And Takes His Choices Away, But He Can’T Give Up. Riding A Fine Edge Between Redemption And Ruin, Llyr Discovers His Greatest Fear May Well Save His People.","Ann Gimpel Books, Llc",140.0,English,2015-03-28,"Fiction , Fantasy , Dark Fantasy",9781943091287
The Year'S Best Dark Fantasy & Horror,Paula Guran,3.5,13.0,,,"Join Twenty-Five Masterful Authors And Talented Newcomers With More Than 400 Pages Of The Disturbing, Unnerving, Haunting, And Strange. This Outstanding Annual Exploration Of The Year’S Best Dark Fiction Delivers Tales Of Deathly Possession, The Weirdly Surreal, Mysterious Melancholy, And Frighteningly Plausible Futures. Confront Your Own Humanity And The Fears That Stir You—From The Darkly Supernatural And Painfully Familiar To The Disquieting Terror Of The Unknown.",Pyr,519.0,English,2020-10-20,"Fiction , Fantasy , Dark Fantasy",9781645060260
Hive Knight,Grayson Sinclair,,,,,"When They Took My Life, I Thought I Had Nothing Left To Lose. I Was A Fool. The Ouroboros Project Was My Last Chance At Salvation, But The New, Virtual Reality Was Just As Bad As The World I’D Left. Backroom Deals With Corrupt Nobles, Slavery, And Murder Were All Swept Under The Rug In The Pursuit Of Gold. Despite Everything, I Found Mercenary Life Fulfilling, Until My Guild Was Attacked. Now, I'Ve Got Unknown, Extremely Rich Enemies On All Sides, A Mysterious Woman With Strange Magic And Compound Eyes, And A Guild To Save. They Brought Their War To My Home. It’S Only Fair I Return The Favor. Hive Knight Is Book 1 Of The Trinity Of The Hive Series, The First In A Dark Fantasy Series By Grayson Sinclair. Hive Knight Features A Dystopian Real World And A Gritty, Bleak And Immersive Vr World. Disclaimer: Not For The Faint Of Heart Or Those With Weak Constitutions (Roll A Saving Throw). Doesn'T Contain A Harem.",Starlit Publishing,565.0,English,2020-08-17,"Fiction , Fantasy , Dark Fantasy",9781989458969
Rhapsodic,Laura Thalassa,4.0,1.0,,,"Book One In The Darkly Hypnotic Bargainer Series! The King Of The Night Always Collects His Debts... Callypso Lillis Is A Siren With A Very Big Problem, One That Stretches Up Her Arm And Far Into Her Past. For The Last Seven Years She'S Been Collecting A Bracelet Of Black Beads Up Her Wrist, Magical Ious For Favors She'S Received. Only Death Or Repayment Will Fulfill The Obligations. Only Then Will The Beads Disappear. Everyone Knows That If You Need A Favor, You Go To The Bargainer To Make It Happen. He'S A Man Who Can Get You Anything You Want... At A Price. And Everyone Knows That Sooner Or Later He Always Collects. But For One Of His Clients, He'S Never Asked For Repayment. Not Until Now. When Callie Finds The Bargainer In Her Room, A Grin On His Lips And A Twinkle In His Eye, She Knows Things Are About To Change. At First, It'S Just A Chaste Kiss - A Single Bead'S Worth - And A Promise For More. For The Bargainer, It'S More Than Just A Matter Of Rekindling An Old Romance. Something Is Happening In The Otherworld. Fae Warriors Are Going Missing One By One. Only The Women Are Returned, Each In A Glass Casket, A Child Clutched To Their Breast. And Then There Are The Whispers Among The Slaves, Whispers Of An Evil That'S Been Awoken. If The Bargainer Has Any Hope To Save His People, He'Ll Need The Help Of The Siren He Spurned Long Ago. Only, His Foe Has A Taste For Exotic Creatures, And Callie Just Happens To Be One.",Hachette Uk,356.0,English,2023-01-10,"Fiction , Fantasy , Dark Fantasy",9781399720083
The Little Lies,Valerie Keogh,,,,,"A Young Woman’S Idyllic Life Comes Apart When Her Past Comes Back To Haunt Her In This Psychological Thriller By The Author Of The Dublin Murder Mysteries. After Working As A Hospital Nurse In Dubai And London, Jodie Settles Down In Kent. With Her Job At A Quiet Nursing Home And Her Loving New Relationship, It Seems That She’S Finally Put Her Troubled Past Behind Her. But Someone From Her Childhood Has Been Following Her For Years. And He’S Decided It’S Time To Makes His Presence Felt . . . When Jodie Receives A Distressing Call From Her Manager, Her Life Takes An Unexpected Turn. Suddenly She’S Suspended And Under Investigation. Then Her Past Comes Thundering Back With A Strange Parcel Tied To Her Front Door. As Everything Begins To Crumble Around Her, She Wonders Who She Can Trust.",Open Road Media,275.0,English,2021-02-03,"Fiction , Thrillers , Psychological",9781504070836
The Secret Within,Lucy Dawson,,,,,"‘Nail-Biting Suspense… Had Me Gasping In Surprise And Clinging To The Edge Of My Seat! Wow.’ Book Lover’S Best, 5 Stars Feeling Sick And Shaky, I Switch On The Tv And The Headlines Begin. And There I Am, Addressing The Audience Directly: ‘If You Are Watching And You Know Anything At All About Where My Child Is, Please Help Us…’ Julia Puts Her Two Children Onto The Train With A Kiss And A Promise Of Something Special For Dinner That Evening. She Doesn’T Like Them Going Alone, But She Tells Herself It’S Only To The Next Town And Her Daughter Cass Can Be Trusted To Look After Her Little Brother. But When Darkness Falls And Only One Child Comes Home, Julia Realises She’S Made A Terrible Mistake. Her Past Has Finally Caught Up With Her, But Can She Save Her Family In Time? Utterly Twisty And Completely Unputdownable. This Insanely Gripping Page-Turner From Bestselling Author Lucy Dawson Is Perfect For Anyone Who Tore Through Friend Request, Gone Girl Or My Lovely Wife. What Readers Are Saying About The Secret Within: ‘The Nail-Biting Suspense Kept Me Hanging On To Every Word… Impossible To Put Down!... Filled With Jaw-Dropping Twists… A Mind-Blowing Experience That Kept Me Spellbound And Captivated, And The Explosive Ending Left My Mind Reeling! Wow! Lucy Dawson Nailed It!’ Book Lover’S Best, 5 Stars ‘Totally Addictive, Twisty And Unputdownable.’ Erin Kelly, Bestselling Author Of He Said, She Said ‘This Book Was Fabulous. I Was Glued To The Story, Unable To Stop Turning Page After Page… Spectacular Story!’ Netgalley Reviewer, 5 Stars ‘Wow Just Wow!... Full Of Edge-Of-The-Seat Drama… The Ending Will Just Blow You Away.’ Netgalley Reviewer, 5 Stars ‘A Tense Rollercoaster Of A Read… An Addictive, Chilling, Twisty Thriller Of A Read That Keeps You Guessing Until The End!’ Goodreads Reviewer, 5 Stars 'I Flew Through This And Absolutely Loved It.' Sji Holliday, Bestselling Author Of The Last Resort ‘Twists And Turns To Keep You Hooked... Loved It!' Amanda Jennings, Bestselling Author Of The Storm ‘Fantastic!! Deliciously Dark, Twisted And Dangerous. Filled With Lies, Deceit And Jaw-Droppingly Shocking Behaviour…This Book Had Me Gripped And The Epilogue Sent Shivers Down My Spine!! Would Definitely Recommend!!’ Stardust Book Reviews, 5 Stars",Bookouture,415.0,English,2021-01-26,"Fiction , Thrillers , Psychological",9781800192539
The Perfect Secret (A Jessie Hunt Psychological Suspense Thriller—Book Eleven),Blake Pierce,,,,,"“A Masterpiece Of Thriller And Mystery. Blake Pierce Did A Magnificent Job Developing Characters With A Psychological Side So Well Described That We Feel Inside Their Minds, Follow Their Fears And Cheer For Their Success. Full Of Twists, This Book Will Keep You Awake Until The Turn Of The Last Page.” --Books And Movie Reviews, Roberto Mattos (Re Once Gone) The Perfect Secret Is Book #11 In A New Psychological Suspense Series By Bestselling Author Blake Pierce, Which Begins With The Perfect Wife, A #1 Bestseller (And Free Download) With Over 500 Five-Star Reviews. A Wealthy Mogul Throws An Exclusive Party In His Sprawling And Secretive Beverly Hills Mansion, Only To Have The Night End With One Of His High-Society Guests Murdered—Forcing Jessie To Enter The Sleazy World Of The Elite. As Jessie Begins To Unearth The Secrets They Hide Behind Their Perfect Facades, She Wonders: Was The Murder Related To An Affair? Or Was There A Much More Nefarious Motive At Stake? A Fast-Paced Psychological Suspense Thriller With Unforgettable Characters And Heart-Pounding Suspense, The Perfect Secret Is Book #11 In A Riveting New Series That Will Leave You Turning Pages Late Into The Night. The Next Book In The Series Will Release Soon.",Blake Pierce,250.0,English,2020-12-10,"Fiction , Thrillers , Psychological",9781094371597
She Who Lies,Alex Kane,,,,,"Blood Is Thicker Than Water, The Family Bond Stronger Than Any Other. They Think It’S All Forgotten. But I Don’T Forget. The Laird-Shaw Family Live A Life Most Only Dream About. Self-Made Millionaires Gavin Shaw And Stevie Laird Built Their Business From Humble Roots To Global Turnover, Stevie’S Wife – And Gavin’S Sister – Eva Is Never Out Of The Style Pages, While Daughter Carla Has Used Her Huge Following As An Instagram Influencer To Shine A Spotlight On Mental Health Issues. But Behind The Glamour Lies A Web Of Lies; Hidden Secrets So Explosive That They Would Bring This Family Dynasty Crashing Down. But Someone Out There Knows The Truth...And Now They’Re Stepping Out Of The Shadows To Reveal The Dark Heart Of The Laird-Shaw Family. Because When The Truth Comes To Light, There’S Nowhere To Hide...And All The Money In The World Can'T Save This Family From Themselves. A Gripping Psychological Thriller That Will Hook You From Page One - The Perfect Read For Fans Of C.L. Taylor, T.M. Logan And Adele Parks. Praise For Alex Kane: ‘Would I Recommend This Book? Omfg! Absolutely I Would! There Are Twists, Suspense And A Very Emotive But Riveting Storyline To Keep You Hooked’ Crimebookjunkie ‘Had Me Scrambling All Over The Pages, Trying To Get To The Truth...You Have To Read It To Believe It...Fantastic!!’ Shalini'S Books And Reviews ‘A Cracking Good Read That Will Leave Readers Breathless...Brilliantly Written And Deviously Plotted...Griplit At Its Most Addictive!’ Bookish Jottings ‘Omg What A Startling Ending!!!! That I Did Not See Coming At All!!’ A Knight’S Reads ‘One Of The Best Books I'Ve Read This Year...The Ending Is One You Will Never Be Able To Figure Out.’ Netgalley Reviewer (5 Stars) ‘This Book Was Such A Thrill Ride From The Beginning...I Did Not See That Ending Coming!...You Will Absolutely Love This Book! I Highly Recommend It!’ Netgalley Reviewer (5 Stars) ‘Definitely One Of Those, “Just One More Chapter” Kind Of Reads That You Won’T Be Able To Put Down.’ By The Letter Book Reviews (5 Stars) ‘A Really Good Read That Had Me Hooked From The First Few Chapters...I Can’T Say Too Much More Without Spoiling It But Brace Yourself For The Final Few Chapters!’ Netgalley Reviewer ‘The Start Of The Book Already Sent Chills Down My Spine...I Loved This Book And The Writing Style And The Author Has Gained A Fan.’ (5 Stars) B For Book Review",Hera Books Ltd,,English,2020-04-08,"Fiction , Thrillers , Psychological",9781912973231
Perfect Bones,Aj Waines,,,,,"When A Brutal Crime Leaves A Witness Scared Silent, A London Psychologist Must Unravel The Mystery Of His Disturbing Artwork In This Crime Thriller. When Art Student Aiden Blake Witnesses A Gruesome Attack On A London Towpath, The Police Need Him To Identify The Assailant Without Delay. But Aiden Is Refusing To Leave His Canal Boat—And The Shock Of What He Saw Has Rendered Him Mute. Desperate To Gain Vital Information Before Aiden’S Memories Fade, The Metropolitan Police Call In Trauma Expert Dr. Samantha Willerby. Though Sam Gets Aiden To Communicate Through His Art, The Images He Produces Are Not What Anyone Expects. And Before Sam Can Make Sense Of Them, The Killer Strikes Again. With The Clock Ticking, Sam Races To Track Down A Brilliant Psychopath Who Seems To Know Her Every Move . . .",Open Road Media,361.0,English,2018-11-08,"Fiction , Thrillers , Psychological",9781504072137
The Perfect Rumor (A Jessie Hunt Psychological Suspense Thriller—Book Nineteen),Blake Pierce,,,,,"A Wealthy Husband Is Found Murdered At A Fabulous Cliffside Palos Verdes Spa Resort, While Vacationing With His Wife. Amidst The Massive Guest Villas, Couples' Massages, And Chef-Prepared Meals, Jessie Realizes That Not All Is As Perfect As It Seems. It Is Only Perfect For A Murder. “A Masterpiece Of Thriller And Mystery. Blake Pierce Did A Magnificent Job Developing Characters With A Psychological Side So Well Described That We Feel Inside Their Minds, Follow Their Fears And Cheer For Their Success. Full Of Twists, This Book Will Keep You Awake Until The Turn Of The Last Page.” --Books And Movie Reviews, Roberto Mattos (Re Once Gone) The Perfect Rumor Is Book #19 In A New Psychological Suspense Series By Bestselling Author Blake Pierce, Which Begins With The Perfect Wife, A #1 Bestseller (And Free Download) With Over 5,000 Five-Star Ratings And 900 Five-Star Reviews. Rumors Abound Amongst The Uber Wealthy In This Vip-Only Resort, Nestled In Ostentatious Surroundings: Oceanside Yoga, Meditation Hikes, Catered Picnics, And Personal ""Couples' Lovemaking"" Coaches. All Is Seemingly Too Perfect, Jessie Knows. But The Victim Had No Apparent Enemies. Who Would Want Him Dead? And Why? A Fast-Paced Psychological Suspense Thriller With Unforgettable Characters And Heart-Pounding Suspense, The Jessie Hunt Series Is A Riveting New Series That Will Leave You Turning Pages Late Into The Night. Books #20-#24 Are Also Available!",Blake Pierce,308.0,English,2022-03-01,"Fiction , Thrillers , Psychological",9781094374147
Secrets Between Us,Valerie Keogh,3.5,2.0,,,"One Letter A Week For Fifteen Years. 780 Identical White Envelopes Brimming With My Sister'S Darkest Secrets. All The Intimate Details Of A Life As Different To Mine As Could Possibly Be. I Read Each Letter Slowly To Make Sure I Understand It Perfectly, One Day Very Soon It Will Be A Matter Of Life And Death... At The End Of Each Letter, After Signing Her Name, There Is Always One Final Sentence: Don'T Forget To Burn This Letter. I'Ll Let You Decide If I Do... A Jaw-Dropping Psychological Thriller That You Will Read In One Sitting. If You Loved Dark, Twisty Thrillers Like The Girl On The Train, The Couple Next Door And Friend Request, This Unputdownable Novel Will Have Your Heart Racing Long After You'Ve Finished Reading. What Readers Are Saying About Secrets Between Us: 'Fabulous! Ten Stars! The Writing Is Wonderful, The Story Mesmerizing, And The Characters Realistic And Believable. I Had To Rush Through The Final Few Pages At The End Because I Couldn'T Stand The Suspense And Just Had To Know The Ending... I Loved Everything About This Book And Highly Recommend It!' Goodreads Reviewer, 5 Stars 'This Was One Heck Of A Ride From Midnight To 3Am. I Couldn'T Seem To Stop Reading, I Tried Really Hard To Shut Down My Kindle, But I Had To Get To The Ending... An Addicting Ride... I Literally Felt Like A Fly Stuck In A Spider'S Web Who Had To Keep Reading To Escape. The Scenes Caused A Tidal Wave Of Emotions To Arise, It Had Me Going Omg Constantly... Can Be Called Nothing But Addictive, Unputdownable, And A Joyride!!' Goodreads Reviewer, 5 Stars 'An Intense, Crazy Awesome Psychological Thriller! I Thoroughly Enjoyed This Book, It Had Me Up Most Of The Night Reading! My Husband Slept Soundly Beside Me And At Times I Wished He Was Up, The Book So So Creepy. It'S That Uneasy Feeling!... I Genuinely Enjoyed Reading Secrets Between Us!' Cloud Of Thoughts, 5 Stars 'I Would Give This Book More Stars If I Could!!!! Holy Cow Was This A Thrilling Book! ... I Really Loved This Book And Recommend Reading If You Love A Great Thriller!' Dawn Mequio, 5 Stars 'The Ending Is Superb, Brilliant Even And Left Me With The Book-Hangover From Hell... I Still Can'T Get That Ending Out Of My Head.' Jenny O'Brien Writer, 5 Stars",,314.0,English,2018-11-12,"Fiction , Thrillers , Psychological",9781786816320
Our Wicked Lies: A Gripping Psychological Thriller With A Stunning Twist,Glede Browne Kabongo,,,,,"There Are Three People In This Marriage. One Of Them Must Die. Alicia Gray Knows She'S A Lucky Woman. With A Gorgeous, Successful Husband Who Whisks Her Away On Romantic Trips, A Beautiful Home In One Of The Country'S Wealthiest Zip Codes, And Two Wonderful Daughters, Life Couldn'T Be Better. However, She'Ll Soon Discover That An Enviable Marriage Comes At A Deadly Cost. Who Is Faith And Why Are Dozens Of Email Messages Between Her And Alicia'S Husband Hidden In His Draft Folder? Why Were The Messages Never Sent? As Alicia Embarks On A Desperate Quest To Uncover Faith'S Identity, A Shocking Death Hits Close To Home And Sends Her Reeling. Was It A Tragic Accident Or Cold-Blooded Murder? In This Beautiful Town Of Wealth And Privilege, Nothing Is As It Seems, And Everyone Has Something To Hide. As Alicia Struggles Under The Weight Of Dark Secrets From Her Own Past, Someone Knows More Than They’Re Saying—Someone Who Knows The Truth Will Come At A Devastating Price. Emotionally Gripping And Expertly Plotted, This Heart-Pounding, Compulsive Read Is The Perfect Domestic Thriller For Fans Of The Wife Between Us, The Husband’S Secret And The Couple Next Door.",Brownestar Media,288.0,English,2021-03-24,"Fiction , Thrillers , Psychological",9781733325387
Project Financing And The International Financial Markets,"Esteban C. Buljevich', 'Yoon S. Park",3.0,1.0,,,"Since The 1970S, The Practice Of Financing Major Private And Public Sector Capital-Intensive Projects Has Shifted To An Ever-Greater Reliance On Private Funding Sources, As Opposed To Direct Financing Through The Issuance Of Corporate Or Government Bonds. In The 1990S, These Financing Practices Have Undergone Further Changes With The Increasing Globalization Of Capital Markets, The Growth Of Derivative Instruments, And The Rapid Increase In Information Technology That Enhances Cash-Management Practices. Today'S Project Financing Market Is Increasingly Using Sophisticated Capital Market, Bank And Agency Financing Mechanisms As Well As Using Derivative Instruments For Asset And Liability Management. Thus, Financial Market Innovations Are Bringing The Once Separate Fields Of Project Financing And International Finance More Closely Together. This Is The First Book To Treat Both Topics As An Interrelated Whole, For Contemporary Project Financing Cannot Be Fully Understood Without A Good Working Knowledge Of The International Financial Markets That Have Developed The Various Financing Techniques And Funding Sources Being Used. The Book Provides An In-Depth Description Of Cross-Border Project Financing As A Technique For Financing Capital-Intensive Projects, As Well As An Overview Of Certain Financing And Derivative Instruments Currently Available In The Global Financial Markets. The First Part Of The Book Provides An Overview Of Certain Funding And Derivative Instruments Currently Used In The International Financial Markets, Including A General Overview Of Financial Innovations That Have Occurred In Recent Decades. Topics Covered Include An Introduction To The Syndicated Euro-Credit Market; An Overview Of Various Marketable Debt Securities Actively Used In The International Financial Markets; An Introduction To Depositary Receipt As An Innovative Way Of Raising Cross-Border Equity Capital; An Elaboration Of The Derivative Instruments Most Commonly Used In The Project Financing Arena, Including Interest Rate, Currency And Commodity Swaps; And Finally An Overview Of Banks' Off-Balance Sheet Activities As A Critical Driving Force For The Participation Of Banks In The International Financial And Derivative Markets. The Second Part Of The Book Provides An In-Depth Analysis Of Project Financing That Concentrates On The Financier'S Perspective. Topics Covered Include A General Overview Of The Project Financing Industry; A Step-By-Step Description Of A Typical Cross-Border Project Finance Transaction; A Description Of The Main Characteristics And Advantages Of Project Financing As Opposed To More Traditional Corporate Lending Practices; An Overview Of Appraisal Techniques For Assessing Project Financing; A Comprehensive Analysis Of The Different Risk Management Techniques Used In Project Financing For Reducing, Distributing And Hedging Risks; And A Brief Overview Of Certain Limited-Resource Financing Schemes. The Book Includes A Special Focus On The Various Stages Of The Risk Management Process For Project Financing, Elaborating On The Different Stages Of Risk Identification, Risk Assessment, Risk Reduction, Risk Distribution And Hedging And Insurance. The Authors Also Provide A Comprehensive Glossary Of Terms Relating To International Finance And Project Financing. This Book Will Fulfill The Need For An Essential Text On Project Financing As Well As A Professional Reference Guide.",Springer Science & Business Media,311.0,English,2007-08-27,"Business &Amp, Economics , Personal Finance , General",9780585315614
Taxation And Public Finance In Transition And Developing Economies,Robert W. Mcgee,,,,,"Topics In This Comprehensive Survey Include Bureaucracy, Corruption And Tax Compliance; Public Finance In Developing Economies; Taxation In Several Former Soviet Republics, Eastern Europe And China; Taxation In The Enlarged European Union; Tax Harmonization Vs. Tax Competition; And The Philosophy Of Taxation And Public Finance. The Editor Has Assembled A Stellar Group Of Authorities To Write About Their Areas Of Expertise.",Springer Science & Business Media,680.0,English,2008-12-10,"Business &Amp, Economics , Personal Finance , General",9780387257129
The Economy And Business Environment Of Vietnam,Roderick Macdonald,,,,,"This Palgrave Pivot Provides An Introduction To The Economy And Business Environment Of Vietnam, A Member Of The Asean Economic Community Whose Economy Is Rapidly Growing. The Introduction Argues That Though There May Be Perceived Disadvantages In Investing In Vietnam, There Are A Number Of Benefits As Well, Such As The Country'S Openness To Trade And Foreign Direct Investment, The Increasing Ease Of Doing Business There And The Dynamism Of The Economy. The Book Then Provides An Overview Of Vietnam'S Economic Policy Since 1975, Covering Reunification, Attempts At A Command Economy, And Finally Renovation Under Doi Moi Policy. Further Chapters Cover The Expansion Of The Private Sector, Interest In Foreign Investment, And The Peculiarities Of Marketing And Finance In Vietnam. As An Edited Volume With Chapters Written By Vietnamese Scholars Across Economics, History, And Business, This Book Is Critical Reading For Researchers Studying Vietnam And Other Asian Economies And For Businesses Interested In Expanding Into That Market.",Springer Nature,137.0,English,2020-08-17,"Business &Amp, Economics , Personal Finance , General",9783030499747
International Economics,Lawrence A. Officer,,,,,"International Economics Is Unique Despite The Existence Of Numerous Books Of The Same Title. It Is True That No One Volume Can Capture The Entire State Of The Art Of The Subject, But Individuals Can Apply Their Own Perspectives To Identify Crucial Issues In The Development Of The Field. Therefore, Rather Than Instructions To Prepare ""Surveys"" Of Subfields Within International Economics, The Contributors To This Book Were Informed As Follows: Your Essay Should Present An Affirmative But Constructively Critical Look At Your Subject. It Is Not Meant To Be A Survey. Rather, Your Task Is To Pinpoint Crucial Areas Of Development, To Offer A Critical Evaluation Of What'S Going On In The Field And Where It Might Go. Your Contribution Would Be Your Own Personal Statement Of How You See Things. It Should Be Written At The Professional Level. Beyond These General Guidelines, You May Develop Your Essay As You See Fit. How Much Of ""International Economics"" Should Be Assigned To Each Author And How Many Contributions The Book Should Have, Required Careful Consideration. Traditionally, International Economics Has Been Divided Into Pure Theory And Monetary Theory, Suggesting A Simple Division Of The Field; But This Dichotomy Has Been Overturned By The Emergence Of Litera Ture That Overlaps Both Theories. An Opposite Approach Would Have Been To Separate International Economics Into Twelve To Fifteen Areas, Each With A Contributor. This Procedure Divides The Field Into Too Many Parts And, Consequently, Overlapping Threads Of Development Would Be Ignored.",Springer Science & Business Media,274.0,English,2012-12-06,"Business &Amp, Economics , Personal Finance , General",9789400932630
Business Journalism,Keith Hayes,,,,,"Business Journalism: How To Report On Business And Economics Is A Basic Guide For Journalists Working In Countries Moving To Open-Market Economies, Students In Journalism Courses, Journalists Changing Direction From General News Reporting To Business And Economic Reporting, And Bloggers. It Also Explains The Differences In Technique Required For General Reporters To Deliver Business News For Text, Tv, Or Radio. Veteran Journalist Keith Hayes, Who Has Worked For Such Organizations As Reuters, Pbs, The Bbc, Cbc, And Cnbc, Provides A Quick Reference To Journalistic Practice That Covers Everything From How To Meet A Deadline To Getting Answers From Company Or Government Officials Who Would Rather Not Talk. It Also Provides Background On Specific Knowledge That Journalists Should Have To Report On The Business And The Economy Accurately And With Insight. That Includes Understanding The Major Markets And How They Work, Learning To Read A Balance Sheet, And Getting The Story Even When A Company Or Government Sets Up Roadblocks. As Hayes Demonstrates, Effective Journalists Are Story Tellers Who Need To Tell The Story Well While Making Certain They Are Providing The Facts As They Find Them And Understand Them. Among Other Things, Readers Will Also Learn: How To Write A Business News Story How To Report Business News On Television How To Report In A Globalized Business World How To Get Usable Information From Press Conferences And Briefings The Basics Of Macroeconomics, The Financial Markets, And Company-Specific Financial Data How To Dig For Facts And Get The Story This Book Covers Comprehensively The Basics Of Business And Economic Reporting. With Its Insights And Tips From Hayes And Other Veteran Journalists, It’S A Book That Will Remain On Your Shelf For Years To Come And Help You Acquire And Cement Career-Enhancing Skills. It Will Also Help You Hone Your Craft As You Begin To Write More Sophisticated Stories And Take Jobs Of Increasing Responsibility.",Apress,233.0,English,2014-02-28,"Business &Amp, Economics , Personal Finance , General",9781430263500
Proceedings Of The International Conference On Business And Management Dynamics 2016,,,,,,"Cape Town, South Africa, 7 Sept. 2016 - 8 Sept. 2016. Theme: Sustainable Economies In The Information Economy. Purpose: To Share The Quality Academic Papers Presented At The International Conference On Business And Management Dynamics (Icbmd) Held From 7 To 8 September 2016 At African Pride Crystal Hotel And Spa In Cape Town. As Grey Literature, The Proceedings Are The Contributions Made By Researchers At The Conference And Are Considered The Written Record Of The Work That Was Presented To Fellow Conference Delegates. Methodology: The Methodology Used Varies From Researcher To Researcher But Are Suitable For The Studies Conducted. Thus, On The One Hand, Studies That Were Subjective In Nature Used The Interpretive Paradigm, Where The Qualitative Approach Adopted Made Used Of The Interview Method To Collect Data. On The Other Hand, Studies That Were Objectively Inclined Adopted The Positivist Philosophy And Used Survey Questionnaires To Collect Data. However, There Were Some Academic Papers Which Used Mixed Methodology Because Of The Nature Of The Study. Whatever Methodology Used Adhered To The Ethos Of The Philosophies Underpinning The Methodology. Contribution Made To Scholarship: The Articles Come From Individual Researchers And Each Article In The Proceedings Is Unique. Mostly, There Is No General Argument Leading From One Contribution To The Next. However, It Is Interesting To Note That In The Area Of Economic Performance It Was Evident That Real Exchange Rate And Net Foreign Direct Investment Contribute More Towards Innovations In Economic Growth. With Regard To Human Capital Development, Papers Presented Evidence That There Exists A Definite Need To Explore The Phenomenon Of Personal Branding As Limited Scientific Academic Research Has Been Done Within The Field Of Personal Branding Or On Elements Of The Topic. Thus, The Outcome Argues That Personal Branding Has An Influence On Leadership Style Which In Turn Impacts On Organisational Performance And Related Hygiene Factors. Furthermore, It Was Demonstrated That Current Methods Or Strategies For Enforcing Institutionalisation Of Knowledge Sharing Within An Organisation Have Not Been Successful, And, As Such, New Strategies Are Needed To Reinforce Efforts To Nurture And Invigorate The Institutionalisation Of Knowledge Sharing Within An Organisation. With Regard To Technology And Big Data Impact On Organisational Performance, It Was Evident That System Performance, Memory Consumption And Cpu Utilisation Can Be Used As Criteria To Compare And Evaluate Big Data Technologies To Improve Organisational Performance. Most Of The Articles' Contribution Reemphasised Technology Education And Training As A Means Of Digitising Business And Improving Effectiveness. Target Audience: The Target Readership Is Academic Researchers And Business Leaders Who Require Access To The Latest Developments In The Fields Of Economics, Information Management, Business, Education, Development Studies, Social Sciences And Technology. It Is Also For Policymakers And Other Stakeholders Who Need A Better Understanding Of The Impact Of New Developments On Existing Policies And Regulations For Their Review Or Amendment.",,115.0,English,2016,"Business &Amp, Economics , Personal Finance , General",9781928396185
"Risk, Information And Insurance",Henri Loubergé,,,,,"Orio Giarini The ""Geneva Association"" (International Association For The Study Of Risk And Insurance Economics) Was Founded In 1973. The Main Goal Was To Stimulate And Organize Objective Research In The Field Of Risk, Uncertainty, And Insurance, In A World In Which Such Issues Were Clearly Becoming Of Greater And Greater Relevance For All Economic Actors. This Was A Pioneer Ing Effort, Especially As Economic Theory And The Teaching Of Economics Were Still Anchored To The Key Notion Of General Equilibrium Under An Assumption Of Certainty. Thus, We Had To Start Our Work Almost From Scratch. One Of The First Initiatives Was To Bring Together In Geneva, In June Of 1973, All The Academics In Europe Already Involved In Risk And Insurance Economics. We Found Eight From Five Different Countries Who Never Had Met Before. This Seminar Chaired By Raymond Barre, The First President Of The Geneva Association, Was The First Of An Annual Series That Became Known As The Seminar Of ""The European Group Of Risk And Insurance Economists."" Since Then More Than 100 Economists From Most European Countries As Well As Participants From Two Other Continents And In Particular From The United States Have Taken Part In This Seminar.",Springer Science & Business Media,274.0,English,2012-12-06,"Business &Amp, Economics , Personal Finance , General",9789400921832
